work_0, idle_0, heavy_0, work_1, idle_1, heavy_1, work_2, idle_2, heavy_2, work_3, idle_3, heavy_3, chunk_time, total_idle, total_heavy
0.0100905,7.2997063e-06,99,0.0100894,8.399598e-06,104,0.0100877,1.0100193e-05,108,0.0100869,1.0900199e-05,104,0.0100978,3.6699697e-05,415
0.0101674,4.189927e-05,101,0.0101673,4.1999854e-05,86,0.0101976,1.1699274e-05,100,0.0101636,4.57e-05,90,0.0102093,0.0001412984,377
0.0102858,1.5500002e-05,100,0.0102904,1.0900199e-05,112,0.0102847,1.6599894e-05,97,0.0102837,1.7600134e-05,94,0.0103013,6.060023e-05,403
0.0102148,8.800067e-06,99,0.0102066,1.7000362e-05,98,0.0102057,1.790002e-05,100,0.0102053,1.8300489e-05,101,0.0102236,6.200094e-05,398
0.0103434,2.9399991e-05,102,0.0103381,3.4700148e-05,99,0.0103617,1.1099502e-05,105,0.0103373,3.5500154e-05,105,0.0103728,0.000110699795,411
0.009956,2.4300069e-05,93,0.0099535,2.680067e-05,88,0.0099508,2.9500574e-05,94,0.0099664,1.3899989e-05,97,0.0099803,9.45013e-05,372
0.0103304,1.3499521e-05,105,0.0103309,1.3000332e-05,88,0.0103256,1.8299557e-05,96,0.0103258,1.8100254e-05,102,0.0103439,6.2899664e-05,391
0.0104685,4.370045e-05,98,0.0104644,4.780013e-05,112,0.010496,1.6200356e-05,110,0.0104615,5.070027e-05,96,0.0105122,0.0001584012,416
0.0102477,3.589969e-05,99,0.0102481,3.5499223e-05,100,0.0102682,1.5399419e-05,114,0.0102424,4.1199848e-05,101,0.0102836,0.00012799818,414
0.0102289,2.889987e-05,105,0.0102294,2.839975e-05,101,0.0102285,2.930034e-05,105,0.0102433,1.4499761e-05,108,0.0102578,0.00010109972,419
0.0101596,1.3300218e-05,97,0.0101582,1.46999955e-05,92,0.0101563,1.6599894e-05,91,0.0101518,2.1100044e-05,92,0.0101729,6.570015e-05,372
0.0099355,3.2600015e-05,96,0.009955,1.3099983e-05,87,0.0099357,3.239978e-05,100,0.0099333,3.47998e-05,82,0.0099681,0.00011289958,365
0.0103338,1.7000362e-05,99,0.010331,1.9799918e-05,106,0.0103382,1.2599863e-05,105,0.0103267,2.4099834e-05,106,0.0103508,7.349998e-05,416
0.0105665,9.099953e-06,99,0.0105487,2.6900321e-05,106,0.0105605,1.5099533e-05,108,0.0105432,3.239978e-05,105,0.0105756,8.349959e-05,418
0.0100992,3.7400052e-05,96,0.0100981,3.8499944e-05,102,0.0101261,1.0499731e-05,95,0.0100917,4.4899993e-05,102,0.0101366,0.00013129972,395
0.0104273,1.6300008e-05,106,0.0104284,1.5200116e-05,113,0.0104337,9.899959e-06,107,0.0104277,1.5899539e-05,99,0.0104436,5.729962e-05,425
0.010103,1.0799617e-05,95,0.0101015,1.2299977e-05,97,0.0101035,1.0299496e-05,106,0.0101005,1.3300218e-05,89,0.0101138,4.6699308e-05,387
0.0101058,1.8100254e-05,99,0.0101061,1.7800368e-05,104,0.0101118,1.2099743e-05,91,0.0101015,2.240017e-05,97,0.0101239,7.0400536e-05,391
0.0099881,1.3799407e-05,94,0.0099844,1.7499551e-05,90,0.009986,1.5899539e-05,92,0.0099851,1.6800128e-05,92,0.0100019,6.3998625e-05,368
0.0100437,1.4599413e-05,102,0.0100426,1.5699305e-05,98,0.0100424,1.5899539e-05,86,0.0100408,1.7499551e-05,90,0.0100583,6.369781e-05,376
0.0103765,1.1499971e-05,101,0.0103534,3.4599565e-05,106,0.0103503,3.7699938e-05,97,0.0103511,3.689993e-05,97,0.010388,0.000120699406,401
0.0102848,9.000301e-06,84,0.0102794,1.440011e-05,100,0.0102788,1.5000813e-05,97,0.0102774,1.640059e-05,112,0.0102938,5.4801814e-05,393
0.0102468,1.0699965e-05,91,0.0102149,4.2600557e-05,104,0.0102167,4.080031e-05,105,0.0102113,4.620012e-05,108,0.0102575,0.00014030095,408
0.0100376,9.699725e-06,97,0.0100354,1.18995085e-05,97,0.0100348,1.2500212e-05,93,0.010034,1.3300218e-05,106,0.0100473,4.7399662e-05,393
0.0103496,9.500422e-06,107,0.0103471,1.2000091e-05,114,0.0103483,1.0799617e-05,100,0.0103456,1.3500452e-05,116,0.0103591,4.580058e-05,437
0.0102155,1.0199845e-05,96,0.010216,9.700656e-06,109,0.0102144,1.1300668e-05,104,0.0102116,1.4100224e-05,104,0.0102257,4.5301393e-05,413
0.0103265,3.0400231e-05,115,0.0103296,2.7299859e-05,103,0.0103391,1.7800368e-05,105,0.0103186,3.830064e-05,103,0.0103569,0.0001138011,426
0.0101918,2.3799948e-05,98,0.0101863,2.930034e-05,98,0.0102028,1.28000975e-05,90,0.0101878,2.7799979e-05,110,0.0102156,9.3700364e-05,396
0.010286,1.6100705e-05,104,0.0102845,1.7600134e-05,103,0.0102836,1.8500723e-05,106,0.0102862,1.590047e-05,98,0.0103021,6.810203e-05,411
0.010233,4.0600076e-05,98,0.0102629,1.0699965e-05,100,0.0102312,4.2400323e-05,116,0.0102388,3.47998e-05,91,0.0102736,0.00012850016,405
0.0103254,2.1199696e-05,98,0.0103374,9.199604e-06,102,0.0103225,2.4099834e-05,106,0.0103235,2.3099594e-05,119,0.0103466,7.759873e-05,425
0.0105694,2.489984e-05,102,0.0105607,3.3600256e-05,120,0.0105579,3.639981e-05,100,0.0105801,1.4199875e-05,114,0.0105943,0.00010909978,436
0.0099732,6.9998205e-06,87,0.0099613,1.890026e-05,91,0.0099411,3.9099716e-05,100,0.0099398,4.0399842e-05,97,0.0099802,0.00010539964,375
0.0100452,4.0000305e-06,101,0.0100118,3.7400052e-05,103,0.0100108,3.839936e-05,107,0.0100082,4.0999614e-05,88,0.0100492,0.00012079906,399
0.0100651,3.729947e-05,108,0.0100949,7.4999407e-06,103,0.0100696,3.279932e-05,99,0.0100778,2.4599954e-05,90,0.0101024,0.00010219868,400
0.0101317,1.1200085e-05,107,0.0101348,8.099712e-06,93,0.0101318,1.1100434e-05,93,0.0101325,1.0400079e-05,102,0.0101429,4.080031e-05,395
